s060-Lenovo,1,0,0.11452960968017578,0.323117733001709,0.2085881233215332,0.11594653129577637,0.32453465461730957,0.13707566261291504,0.06706809997558594,0.045938968658447266,0.07202744483947754,0.08907389640808105,0.592231035232544,0.5031571388244629,0.06492877006530762,0.1706867218017578,0.1057579517364502,0.22659635543823242,0.23665714263916016,0.010060787200927734,0.0895681381225586,0.15076541900634766,0.06119728088378906,0.06843948364257812,0.1296367645263672,0.09952497482299805,0.09857916831970215,0.19334673881530762,0.09476757049560547,0.09079480171203613,0.34606504440307617,0.25527024269104004,0.11328315734863281
s060-Lenovo,1,1,0.10243940353393555,0.2277224063873291,0.12528300285339355,0.09705376625061035,0.2223367691040039,0.10416769981384277,0.07459235191345215,0.08505773544311523,0.010465383529663086,0.10453367233276367,0.21096134185791016,0.10642766952514648,0.09084725379943848,0.2526395320892334,0.16179227828979492,0.17950224876403809,0.19516634941101074,0.015664100646972656,0.08781599998474121,0.11858558654785156,0.03076958656311035,0.07300400733947754,0.10377359390258789,0.12754487991333008,0.08835530281066895,0.18149995803833008,0.09314465522766113,0.08464431762695312,0.1295030117034912,0.044858694076538086,0.08588814735412598
s060-Lenovo,1,2,0.10653972625732422,0.30570483207702637,0.19916510581970215,0.07766532897949219,0.27683043479919434,0.10488247871398926,0.08576464653015137,0.0585474967956543,0.09029579162597656,0.10281538963317871,0.21370792388916016,0.11089253425598145,0.08727025985717773,0.26719164848327637,0.17992138862609863,0.1460108757019043,0.17023158073425293,0.024220705032348633,0.11457228660583496,0.12970829010009766,0.015136003494262695,0.08079910278320312,0.09593510627746582,0.12712860107421875,0.08337783813476562,0.15811586380004883,0.0747380256652832,0.10528826713562012,0.16985273361206055,0.06456446647644043,0.08959579467773438
s060-Lenovo,1,3,0.10147523880004883,0.25104379653930664,0.1495685577392578,0.08706951141357422,0.23663806915283203,0.10107302665710449,0.10190558433532715,0.10560750961303711,0.003701925277709961,0.10956597328186035,0.22588872909545898,0.11632275581359863,0.08874964714050293,0.5447275638580322,0.4559779167175293,0.19129180908203125,0.2192854881286621,0.02799367904663086,0.10416460037231445,0.13224411010742188,0.028079509735107422,0.11613249778747559,0.13471460342407227,0.01858210563659668,0.07394170761108398,0.10560846328735352,0.03166675567626953,0.07558822631835938,0.12876534461975098,0.0531771183013916,0.08142423629760742
s060-Lenovo,1,4,0.08952212333679199,0.2236332893371582,0.1341111660003662,0.09497189521789551,0.22908306121826172,0.11106634140014648,0.09406828880310059,0.10219049453735352,0.00812220573425293,0.09528684616088867,0.21131277084350586,0.11602592468261719,0.09092164039611816,0.27596497535705566,0.1850433349609375,0.1700584888458252,0.18580961227416992,0.015751123428344727,0.1185917854309082,0.1185917854309082,0.0,0.10190081596374512,0.10190081596374512,0.1099398136138916,0.07258200645446777,0.15172934532165527,0.0791473388671875,0.08780336380004883,0.18838953971862793,0.1005861759185791,0.06039714813232422
s060-HP,1,0,0.08787918090820312,0.14964628219604492,0.0617671012878418,0.09012532234191895,0.10012054443359375,0.009995222091674805,0.05942726135253906,0.09610366821289062,0.03667640686035156,0.10628557205200195,0.19414830207824707,0.08786273002624512,0.07945108413696289,0.29395580291748047,0.21450471878051758,0.2399921417236328,0.31215405464172363,0.07216191291809082,0.07933807373046875,0.10338544845581055,0.024047374725341797,0.10468173027038574,0.12872910499572754,0.12858080863952637,0.08036470413208008,0.16121649742126465,0.08085179328918457,0.07115602493286133,0.10211658477783203,0.030960559844970703,0.07242798805236816
s060-HP,1,1,0.08827877044677734,0.3209714889526367,0.23269271850585938,0.08704662322998047,0.10250329971313477,0.015456676483154297,0.07265114784240723,0.07265114784240723,0.0,0.09595799446105957,0.18443799018859863,0.08847999572753906,0.08028769493103027,0.28885531425476074,0.20856761932373047,0.21407866477966309,0.33557868003845215,0.12150001525878906,0.0795447826385498,0.20104479789733887,0.09553980827331543,0.07961487770080566,0.12046694755554199,0.04085206985473633,0.07076358795166016,0.1274242401123047,0.05666065216064453,0.07991313934326172,0.1270904541015625,0.04717731475830078,0.08830857276916504
s060-HP,1,2,0.07959556579589844,0.27194905281066895,0.1923534870147705,0.05669403076171875,0.24904751777648926,0.06368589401245117,0.06383490562438965,0.0871577262878418,0.02332282066345215,0.09697389602661133,0.19225740432739258,0.09528350830078125,0.07155704498291016,0.2879960536956787,0.21643900871276855,0.20107817649841309,0.2570679187774658,0.055989742279052734,0.09533476829528809,0.11049127578735352,0.01515650749206543,0.08832812309265137,0.11306190490722656,0.024733781814575195,0.08101201057434082,0.13540267944335938,0.054390668869018555,0.07186055183410645,0.11999917030334473,0.04813861846923828,0.07179021835327148
s060-HP,1,3,0.08886456489562988,0.24890398979187012,0.16003942489624023,0.0716245174407959,0.23166394233703613,0.08732295036315918,0.06461334228515625,0.09549403190612793,0.03088068962097168,0.07237958908081055,0.1611471176147461,0.08876752853393555,0.07069230079650879,0.27965664863586426,0.20896434783935547,0.2150588035583496,0.28856658935546875,0.07350778579711914,0.11957859992980957,0.13454294204711914,0.01496434211730957,0.09582233428955078,0.10488653182983398,0.009064197540283203,0.0707406997680664,0.13634777069091797,0.06560707092285156,0.06375694274902344,0.1108396053314209,0.04708266258239746,0.06371426582336426
s060-HP,1,4,0.08658933639526367,0.31859898567199707,0.2320096492767334,0.07873845100402832,0.3107481002807617,0.0867152214050293,0.06378340721130371,0.08080792427062988,0.017024517059326172,0.08777022361755371,0.16741514205932617,0.07964491844177246,0.07188940048217773,0.28774023056030273,0.215850830078125,0.20026874542236328,0.23193860054016113,0.03166985511779785,0.11233758926391602,0.11984539031982422,0.007507801055908203,0.09604382514953613,0.0979154109954834,0.0018715858459472656,0.07915472984313965,0.14299654960632324,0.0638418197631836,0.05616450309753418,0.11909365653991699,0.06292915344238281,0.06434512138366699
s060-HP,1,5,0.0712137222290039,0.23140788078308105,0.16019415855407715,0.07248258590698242,0.07954168319702148,0.0070590972900390625,0.06400418281555176,0.07200384140014648,0.007999658584594727,0.08057832717895508,0.17701983451843262,0.09644150733947754,0.07986807823181152,0.2554478645324707,0.17557978630065918,0.1912691593170166,0.2488691806793213,0.05760002136230469,0.10415911674499512,0.11198544502258301,0.00782632827758789,0.09489965438842773,0.12772536277770996,0.03282570838928223,0.04739236831665039,0.11248064041137695,0.06508827209472656,0.07907938957214355,0.15055251121520996,0.0714731216430664,0.07206058502197266
s060-HP,1,6,0.08001184463500977,0.1916975975036621,0.11168575286865234,0.08700013160705566,0.11132669448852539,0.024326562881469727,0.06467437744140625,0.0876913070678711,0.023016929626464844,0.08800482749938965,0.1683647632598877,0.08035993576049805,0.06387877464294434,0.26375722885131836,0.19987845420837402,0.199188232421875,0.2398967742919922,0.04070854187011719,0.09664797782897949,0.11198997497558594,0.015341997146606445,0.08801746368408203,0.09752368927001953,0.0095062255859375,0.06309962272644043,0.13599896430969238,0.07289934158325195,0.07135748863220215,0.0865011215209961,0.015143632888793945,0.07228708267211914
s060-HP,1,7,0.0793142318725586,0.24042296409606934,0.16110873222351074,0.07071828842163086,0.2318270206451416,0.07920360565185547,0.0725104808807373,0.09577465057373047,0.023264169692993164,0.08061695098876953,0.16904091835021973,0.0884239673614502,0.09570002555847168,0.29498744010925293,0.19928741455078125,0.20847654342651367,0.24946045875549316,0.04098391532897949,0.09524869918823242,0.13623261451721191,0.1030874252319336,0.11279106140136719,0.12755632400512695,0.014765262603759766,0.05722212791442871,0.11251091957092285,0.05528879165649414,0.06444692611694336,0.11096000671386719,0.04651308059692383,0.06522011756896973
s060-HP,1,8,0.10420107841491699,0.30365800857543945,0.19945693016052246,0.0800936222076416,0.27955055236816406,0.08833050727844238,0.05528378486633301,0.07134366035461426,0.01605987548828125,0.07266569137573242,0.16126799583435059,0.08860230445861816,0.07141327857971191,0.2625768184661865,0.1911635398864746,0.17680120468139648,0.28929567337036133,0.11249446868896484,0.023294448852539062,0.1357889175415039,0.0872964859008789,0.13616633415222168,0.18445229530334473,0.04828596115112305,0.06306266784667969,0.07097053527832031,0.007907867431640625,0.06415462493896484,0.1437995433807373,0.07964491844177246,0.06417322158813477
s060-HP,1,9,0.08011054992675781,0.32755470275878906,0.24744415283203125,0.06404280662536621,0.07155561447143555,0.007512807846069336,0.07248139381408691,0.07947897911071777,0.006997585296630859,0.08260440826416016,0.16896748542785645,0.08636307716369629,0.06457376480102539,0.2560141086578369,0.19144034385681152,0.1675584316253662,0.24848031997680664,0.08092188835144043,0.06402182579040527,0.1449437141418457,0.08001899719238281,0.09604382514953613,0.11105084419250488,0.01500701904296875,0.06445121765136719,0.11353778839111328,0.049086570739746094,0.0474705696105957,0.31035494804382324,0.26288437843322754,0.0640099048614502
s060-DELL,1,0,0.09606790542602539,0.23951935768127441,0.14345145225524902,0.07994914054870605,0.0819096565246582,0.0019605159759521484,0.06255745887756348,0.0635530948638916,0.000995635986328125,0.07825851440429688,0.17510342597961426,0.09684491157531738,0.06290507316589355,0.2873973846435547,0.22449231147766113,0.25545835494995117,0.3691284656524658,0.11367011070251465,0.07941246032714844,0.1264934539794922,0.04708099365234375,0.09817862510681152,0.09817862510681152,0.0,0.09439659118652344,0.146317720413208,0.05192112922668457,0.08509016036987305,0.10425090789794922,0.019160747528076172,0.06676411628723145
s060-DELL,1,1,0.09225630760192871,0.1968247890472412,0.1045684814453125,0.06460046768188477,0.16916894912719727,0.08842658996582031,0.08857989311218262,0.10470032691955566,0.016120433807373047,0.07308411598205566,0.15439581871032715,0.08131170272827148,0.06295037269592285,0.2763247489929199,0.21337437629699707,0.20541024208068848,0.23981070518493652,0.03440046310424805,0.09752869606018066,0.12800049781799316,0.0304718017578125,0.08100748062133789,0.11283087730407715,0.03182339668273926,0.032639503479003906,0.1286911964416504,0.09605169296264648,0.06357455253601074,0.09448838233947754,0.030913829803466797,0.08022689819335938
s060-DELL,1,2,0.09601831436157227,0.24012994766235352,0.14411163330078125,0.0794680118560791,0.09534192085266113,0.01587390899658203,0.0648505687713623,0.06544661521911621,0.0005960464477539062,0.07832837104797363,0.15967297554016113,0.0813446044921875,0.09579110145568848,0.31917500495910645,0.22338390350341797,0.1915574073791504,0.2881581783294678,0.09660077095031738,0.09540534019470215,0.09743857383728027,0.002033233642578125,0.07851886749267578,0.10992980003356934,0.031410932540893555,0.06381058692932129,0.11204338073730469,0.0482327938079834,0.06500911712646484,0.11251139640808105,0.04750227928161621,0.06371784210205078
s060-DELL,1,3,0.0968468189239502,0.2562241554260254,0.1593773365020752,0.0792992115020752,0.08029580116271973,0.0009965896606445312,0.07912468910217285,0.0801246166229248,0.0009999275207519531,0.0635833740234375,0.14444875717163086,0.08086538314819336,0.09444403648376465,0.49459409713745117,0.4001500606536865,0.19158315658569336,0.25720977783203125,0.06562662124633789,0.11197590827941895,0.12737536430358887,0.015399456024169922,0.07909274101257324,0.09585714340209961,0.016764402389526367,0.06388449668884277,0.14354991912841797,0.0796654224395752,0.08071374893188477,0.11153268814086914,0.030818939208984375,0.06441211700439453
